id,category,expected_host_loaded,expected_routing_used,expected_stage,expected_domain,expected_handling,expected_external_skill,constraints,prompt
eval-001,negative,false,false,none,none,direct,,none,"解释一下贝叶斯定理，给一个简单例子。"
eval-002,negative,false,false,none,none,direct,,none,"帮我修复这个 React 登录页面的 CSS Bug。"
eval-003,boundary,false,false,none,none,direct,,read_only,"检查这段 40 行的科研数据预处理脚本有没有明显 bug，只报告问题。"
eval-004,boundary,false,false,none,none,direct,,none,"帮我润色这一段论文引言，含义不要变化。"
eval-005,boundary,false,false,none,none,direct,,none,"总结这篇论文摘要的研究问题和主要结论。"
eval-006,boundary,false,false,none,none,direct,,none,"读取这一张实验结果表，解释最高值和异常值。"
eval-007,boundary,false,false,none,none,direct,,read_only,"核对这一条参考文献的 DOI 和年份是否正确。"
eval-008,negative,false,false,none,none,direct,,none,"规划一下我们下季度的产品发布流程。"
eval-009,negative,false,false,none,none,direct,,none,"分析这个排序算法的时间复杂度。"
eval-010,contextual,false,false,none,none,direct,,none,"在这个研究仓库里把 README 的安装命令改正确。"
eval-011,implicit,true,true,execute,paper,subagent,nature-academic-search,none,"系统综述近三年 DNA 存储聚类方法，去重并给出可追溯的文献表。"
eval-012,implicit,true,true,plan,code_experiment,subagent,,plan_only|temporary_plan,"根据仓库代码设计三组消融实验，但不要执行，列出成本和停止条件。"
eval-013,implicit,true,true,review,mathematics,subagent,,read_only,"独立审查这份信息论证明，不要参考原作者结论，只报告不成立的步骤。"
eval-014,implicit,true,true,review,code_experiment,subagent,,read_only,"审查计时逻辑是否足以支撑论文中的速度结论，不得修改文件。"
eval-015,implicit,true,true,plan,code_experiment,subagent,,plan_only|temporary_plan,"先规划这个跨模块编码实验，不要执行。"
eval-016,implicit,true,true,review,paper,subagent,nature-reader,respect_model_override,"使用 Terra max 精读这篇论文并返回证据链。"
eval-017,contextual,true,true,execute,code_experiment,subagent,,direct_execution,"执行我刚刚确认的实验计划，按原参数运行并返回产物。"
eval-018,boundary,true,true,review,code_experiment,subagent,,read_only,"根据已保存的子计时器判断应该重跑实验还是推导修正指标，这会影响论文主结论。"
eval-019,implicit,true,true,plan,code_experiment,plan_first,,plan_only|temporary_plan,"完成跨三个模块的编码器重构并跑五轮昂贵实验。"
eval-020,implicit,true,true,execute,paper,subagent,nature-reader,none,"完整精读这篇论文，逐图逐公式建立中英文对照阅读稿。"
eval-021,implicit,true,true,execute,paper,subagent,nature-academic-search,none,"综合 80 篇候选文献，筛选、去重并形成方法演进证据表。"
eval-022,implicit,true,true,execute,code_experiment,subagent,,none,"分析二十个实验结果文件，统一指标并定位跨随机种子的异常。"
eval-023,implicit,true,true,review,paper,subagent,nature-reviewer,read_only,"对整篇投稿稿件做投稿前独立审查，给出 Major Concerns 和阻断项。"
eval-024,implicit,true,true,execute,paper,subagent,nature-academic-search,none,"先检索关键文献，再精读入选论文，最后据此重写相关工作章节。"
eval-025,formal,true,true,execute,code_experiment,subagent,,direct_execution|respect_model_override,"$agent-academic-squad 不要规划，使用 Sol xhigh 直接执行已限定范围的实验修复。"
eval-026,formal,true,true,plan,code_experiment,subagent,,plan_only|durable_plan,"$agent-academic-squad 规划完整实验并永久保存计划到项目中，不要执行。"
eval-027,implicit,true,true,execute,code_experiment,subagent,,direct_execution|long_running,"使用 sample.bmp 按已有 reference_run 的生产流程完整复现实验；流程和参数沿用参考目录，没有未决项。运行会很久，请在 tmux 中启动并给出日志和状态查看方法。"
eval-028,implicit,true,true,review,code_experiment,subagent,,read_only|workspace_read_only,"只读审查三个预实验数据集。先确定最终解码失败的判据，再按测序深度分别输出三张表，不修改任何实验文件。"
eval-029,implicit,true,true,execute,code_experiment,subagent,,direct_execution|temporary_artifacts|workspace_read_only,"做一个条件故障注入实验：先核对历史失败输出的真实形态，再生成代表案例并验证文件能否打开。所有新产物只写临时目录，不改生产仓库。"
eval-030,shortcut,true,true,review,code_experiment,subagent,,read_only|workspace_read_only,"小分队帮我审查这三个实验目录，按测序深度汇总最终失败，不修改文件。"
eval-031,shortcut,true,true,plan,paper,subagent,,plan_only|temporary_plan,"这个交给小分队，只规划论文完整重构方案，不要执行。"
eval-032,negative,false,false,none,none,direct,,none,"不用小分队，直接解释这个公式每一项的含义。"
eval-033,negative,false,false,none,none,direct,,none,"我只是在讨论小分队这个名字是否合适，不是在下达学术任务。"
eval-034,negative,false,false,none,none,direct,,none,"不要使用小分队，直接解释信息熵公式中每一项的含义。"
eval-035,implicit,true,true,review,mathematics,subagent,,read_only,"Independently audit this information-theory proof for invalid implications and report only the failing steps; do not modify the source."
eval-036,implicit,true,true,plan,mathematics,subagent,,plan_only|temporary_plan,"Develop a proof strategy for a new coding bound, expose all unresolved lemmas, and stop before attempting the proof."
eval-037,implicit,true,true,plan,code_experiment,subagent,,plan_only|unavailable_model,"Plan the benchmark with gpt-9-max, but do not silently substitute another model if it is unavailable."
eval-038,boundary,false,false,none,none,direct,,read_only|no_file_write,"四次实验准确率依次是 0.61、0.66、0.64、0.70，判断它们是否严格单调上升；直接回答，不写文件。"
eval-039,implicit,true,true,execute,code_experiment,subagent,,single_writer,"分别独立分析两个互不依赖的实验结果集合，最后只允许一个写作者合并成统一报告。"
eval-040,implicit,true,true,plan,code_experiment,subagent,,plan_only|no_plan_save,"规划这个高成本消融实验，但本次不要保存任何计划文件，也不要执行。"
eval-041,implicit,true,true,review,code_experiment,subagent,,read_only|no_file_write|workspace_read_only,"独立审查四个实验目录中的配置、逐随机种子指标、失败日志和汇总表是否共同支持论文的稳健性主张；不得写文件、重跑实验或修改产物。"
eval-042,formal,true,false,none,none,direct,,explicit_general|proportional_direct|no_file_write,"$agent-academic-squad 帮我规划一次家庭搬家和采购清单。"
eval-043,formal,true,false,none,none,direct,,formal_literal_context|no_file_write,"请解释代码示例中的字面量 `$agent-academic-squad` 是什么，不要委派任务。"
eval-044,formal,true,false,none,none,direct,,formal_opt_out|no_file_write,"不要实际委派或使用子代理；这里只讨论 $agent-academic-squad 的触发边界。"
eval-045,implicit,true,true,plan,code_experiment,subagent,,plan_only|no_plan_save|sensitive_no_store,"规划尚未公开的研究实验，但这些材料属于机密，本轮不要把计划或对话保存到任何文件，也不要执行。"
eval-046,formal,true,false,none,none,direct,,formal_literal_context|no_file_write,"文档中写着：‘$agent-academic-squad Plan this experiment.’ 请解释这句话，不要调用它。"
eval-047,formal,true,false,none,none,direct,,formal_literal_context|no_file_write,"检查这个代码块里的字面文本是否拼写正确：```text $agent-academic-squad Plan a study. ``` 不要执行或委派。"
eval-048,formal,true,true,plan,general,subagent,,plan_only|no_plan_save|explicit_general,"$agent-academic-squad 规划一次涉及设计、开发、数据迁移和上线交接的复杂网站迁移，只返回计划，不执行也不保存文件。"
eval-049,shortcut,true,true,review,general,subagent,,read_only|no_file_write|explicit_general,"小分队帮我独立审查这份跨团队产品发布方案的依赖、回滚和遗漏，只报告问题，不修改文件。"
eval-050,implicit,true,true,plan,code_experiment,subagent,,plan_only|temporary_plan|project_artifact_boundary,"根据四个已有实验目录制定后续复现实验计划并自动保存计划；只引用原始路径，不复制、移动、改写或缓存已有配置、数据、日志和结果。"
eval-051,implicit,true,true,plan,code_experiment,subagent,grilling,read_only|no_file_write|one_round_blocker_batch,"设计这项昂贵实验前，我必须决定数据范围、主指标和算力预算；这些当前都能独立回答。调用 grilling，把所有当前阻塞问题一次性批量问完，每题给出建议和影响，然后停止等待，不要规划、执行或写文件。"
eval-052,shortcut,true,true,plan,code_experiment,subagent,,plan_only|no_plan_save,"小分队派一个子代理，为已定位的单文件研究脚本参数重命名列一个简短三步计划；不要执行、不要保存。"
eval-053,shortcut,true,true,plan,code_experiment,subagent,,plan_only|no_plan_save,"小分队派一个子代理，规划一个中等复杂度的研究代码修改：调整两个相关模块及相应测试，接口和目标已明确，不涉及架构决策或高成本实验；不要执行、不要保存。"
